key;name;file;file_alter_v;MS-50G;MS-60B;MS-70CDR;G1on;B1on;description;description rus;group name;group number;version
1;160 Comp;160_COMP.ZDL;;;MS-60B;MS-70CDR;G1on;B1on;This compressor is in the style of the dbx 160A;Компрессор в стиле dbx 160A;DYN;0x01;1.01
2;Comp;COMP.ZDL;;MS-50G;;MS-70CDR;G1on;;This compressor in the style of the MXR Dyna Comp;Компрессор в стиле MXR Dyna Comp ;DYN;0x01;1.00
3;D Comp;D_COMP.ZDL;;;MS-60B;;;B1on;This compressor in the style of the MXR Dyna Comp;Компрессор в стиле MXR Dyna Comp ;DYN;0x01;1.01
4;DirtyGate;DIRTYGTE.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This vintage style gate features a characteristic way of closing;Винтажный гейт с характерным закрытием;DYN;0x01;1.00
5;DualComp;DUAL_CMP.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a compressor which allows separate settings for the low frequency and high frequency range;Компрессор, позволяет раздельные настраивать низкочастотный и высокочастотный диапазоны;DYN;0x01;1.00
6;GrayComp;GRAYCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This models a ROSS Compressor;Моделирует ROSS компрессор;DYN;0x01;1.00
7;Limiter;LIMITER.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a limiter that suppresses signal peaks above a certain reference level;Лимитер, подавляет пики сигнала выше установленного уровня;DYN;0x01;1.01
8;M Comp;M_COMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;B1on;This compressor provides a more natural sound;Компрессор, обеспечивает очень натуральный звук;DYN;0x01;1.00
9;NoiseGate;NOISEGTE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This is a noise gate that cuts the sound during playing pauses;Шумодав, убирает шумы в паузах;DYN;0x01;1.00
10;OptComp;OPTCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This compressor is in the style of an APHEX Punch FACTORY;Компрессор выполнен в стиле APHEX Punch FACTORY;DYN;0x01;1.00
11;OrangeLim;ORANGELM.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This models an ORANGE SQUEEZER;Лимитер, моделирует ORANGE SQUEEZER;DYN;0x01;1.00
12;RackComp;RACKCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This compressor allows more detailed adjustment than Comp;Компрессор, позволяет осуществлять более тонкую настройку, чем Comp;DYN;0x01;1.00
13;SlowATTCK;SLWATK.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect slows the attack of each note, resulting in a violin-like performance;Эффект замедляет атаку каждой ноты, исполнение получается по типу скрипки;DYN;0x01;1.00
14;ZNR;ZNR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;'ZOOM''s unique noise reduction cuts noise during pauses in playing without affecting the tone';Уникальное подавление шума от ZOOM убирает шум в паузах во время исполнения, не влияя на тон;DYN;0x01;1.00
15;A-Filter;A_FILTER.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a resonance filter with a sharp envelope;Резонансный фильтр с резкой огибающей;FLTR;0x02;1.01
16;AutoWah;AUTOWAH.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect varies wah in accordance with picking intensity;Эффект варьирует «вау-вау» в соответствии с интенсивностью звукоизвлечения;FLTR;0x02;1.00
17;Ba Cry;B_CRY.ZDL;;;MS-60B;MS-70CDR;;B1on;This talking modulator is suitable for the bass frequency range;Модулятор голоса для диапазона низких частот;FLTR;0x02;1.01
18;Ba GEQ;B_GEQ.ZDL;;;MS-60B;MS-70CDR;;B1on;This 7-band graphic equalizer is suitable for the bass frequency;7-полосный графический эквалайзер, подходит для низких частот;FLTR;0x02;1.01
19;Ba PEQ;B_PEQ.ZDL;;;MS-60B;MS-70CDR;;B1on;This 2-band parametric equalizer is suitable for the bass frequency range;2-полосный параметрический эквалайзер, подходит для диапазона низких частот;FLTR;0x02;1.01
20;BaAutoWah;B_ATWAH.ZDL;;;MS-60B;MS-70CDR;;B1on;You can adjust the mix of this bass guitar auto-wah with the original signal;Вы можете отрегулировать микс авто-вау с исходным сигналом бас-гитары ;FLTR;0x02;1.01
21;Bottom B;BOTTOM_B.ZDL;;;MS-60B;MS-70CDR;;B1on;Emphasizes the low and high frequencies;Подчеркивает низкие и высокие частоты;FLTR;0x02;1.01
22;CombFLTR;COMBFLTR.ZDL;;MS-50G;;MS-70CDR;;;This effect uses the comb filter that results from fixing the modulation of the flanger like an equalizer;Эффект использует гребенчатый фильтр, который получается в результате фиксации модуляции флэнжера, как эквалайзер;FLTR;0x02;1.00
23;Cry;CRY.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect varies the sound like a talking modulator;Эффект варьирует звук как модулятор речи;FLTR;0x02;1.00
24;Exciter;EXCITER.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;Adjusts the depth of the compression;Регулирует глубину компрессии;FLTR;0x02;1.00
25;fCycle;FCYCLE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This filter effect changes tone characteristics cyclically;Эффект фильтра, циклически изменяет характеристики тона;FLTR;0x02;1.00
26;GraphicEQ;GEQ.ZDL;;MS-50G;;MS-70CDR;G1on;;This unit has a 6-band equalizer;6-полосный эквалайзер;FLTR;0x02;1.00
27;LineSel;LINESEL.ZDL;;MS-50G;MS-60B;MS-70CDR;;;Sound input into the LineSel effect is sent directly to the OUTPUT jacks when OFF and to the next effect in order when ON;Входной звук в эффекте LineSel отправляется напрямую в выходные разъемы, если выключен, и к следующему по порядку эффекту, если включен;FLTR;0x02;1.01
